@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
874,'2019/01/28 16:07:51:815',8,1.594812,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,42.611687,15.905359,4.22443,160.633835,1
875,'2019/01/28 16:07:51:909',8,0.78898,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.171318,13.789567,2.480129,157.083984,1
876,'2019/01/28 16:07:51:988',8,0.478675,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,48.685532,16.119074,-0.330348,152.661575,1
877,'2019/01/28 16:07:52:119',8,0.638907,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,47.233784,18.928404,-6.302801,153.474792,1
878,'2019/01/28 16:07:52:219',8,0.726632,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.58606,16.902437,-1.314487,154.879807,1
879,'2019/01/28 16:07:52:317',8,0.702123,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.75885,17.752159,-0.519051,149.24527,1
880,'2019/01/28 16:07:52:418',8,0.708473,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.713516,17.921747,-0.511943,147.402161,1
881,'2019/01/28 16:07:52:533',8,0.719942,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.632648,18.525288,-2.208101,149.364426,1
882,'2019/01/28 16:07:52:621',8,0.671108,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.986309,17.914799,0.216673,148.630066,1
883,'2019/01/28 16:07:52:721',8,0.747917,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,46.440628,19.541576,-2.092355,149.624008,1
